,Date,Away,Home,Actual,Spread_1,Spread_2,Spread_3,Spread_4,Spread_5,Spread_6,Spread_7,Spread_8,Spread_9,Spread_10,Spread_11,Spread_12,Spread_13,Spread_14,Spread_CV
77,3/16/2025,Toronto Raptors,Portland Trail Blazers,3,-3,-3.981027842,3.788780212,-5.39,5.086526783,-1.742256165,0.223438999,2.512066667,0.5,8.650350114,1.666686685,NA,-2.50406007,3,15
78,3/16/2025,Utah Jazz,Minnesota Timberwolves,26,12,1.142523527,-0.08,15.9,8.991428065,1.871589065,8.619043449,11.52426667,5.16,7.987186841,1.125839229,NA,2.145993444,16,7
79,3/16/2025,Oklahoma City Thunder,Milwaukee Bucks,-16,-6,-0.29326424,-0.53,-28.66,-4.558055035,-4.305765152,-4.24596751,-3.090733333,-3.02,-15.84248487,-5.957481087,NA,-5.377688646,-11,-14
80,3/16/2025,Washington Wizards,Los Angeles Clippers,NA,16,3.968375921,7.274139404,19.17,5.625343592,7.859291553,13.24808331,NA,7.01,12.59641848,10.01849202,NA,5.437604358,24,13
81,3/17/2025,Miami Heat,New York Knicks,21,7,4.072504044,11.41036224,11.31,5.222768208,-0.892721415,7.546470662,6.6263,3.49,16.68899599,8.107294812,NA,14.9194847,7,11
82,3/17/2025,Philadelphia 76ers,Houston Rockets,7,16,3.926689148,2.554161072,5.87,6.532763889,9.726740837,6.356885679,8.865166667,4.49,7.137458839,0.116372275,NA,4.183657343,14,4
83,3/17/2025,Indiana Pacers,Minnesota Timberwolves,-2,1,0.267914683,-0.07,10.06,4.26712293,0.881658852,4.56102533,1.3807,0.72,11.23356724,-1.566649999,NA,-4.071493839,6,-4
84,3/17/2025,Detroit Pistons,New Orleans Pelicans,-46,-9,-2.092730761,-2.12,8.5,-7.200908386,-10.97414112,-8.498511416,-6.917366667,-5.22,-11.6127058,-13.72966325,NA,-3.078785785,-5,-6
85,3/17/2025,Orlando Magic,San Antonio Spurs,NA,6,0.402759463,13.96088409,-2.73,3.523934082,-3.995589972,2.872981688,NA,0.05,-13.60934588,8.39004988,NA,9.669675533,-5,9
86,3/17/2025,Chicago Bulls,Utah Jazz,-14,-10,-0.46630308,-6.7,8.92,-1.399732826,-5.926260948,-6.123902857,-3.178033333,-1.1,-2.858066069,-0.045847186,NA,-4.384980592,3,4
87,3/17/2025,Denver Nuggets,Golden State Warriors,-9,-6,2.966668606,-6.17,-3.26,3.604641347,1.803523064,-3.597885317,-4.435966667,-0.79,9.964660437,-2.515445334,NA,0.0288639,5,4
88,3/17/2025,Toronto Raptors,Phoenix Suns,40,2,-3.845724583,3.490432739,-15.07,4.662010176,2.23244071,3.841403103,4.055466667,1.11,0.593591141,4.225030102,NA,3.243197082,2,-4
89,3/17/2025,Memphis Grizzlies,Sacramento Kings,10,4,3.0146029,-6.23,1.05,0.05082307,6.370568752,-0.467201784,-3.0625,-2.14,11.61691211,4.580313984,NA,-3.758007085,-5,-5
90,3/18/2025,Atlanta Hawks,Charlotte Hornets,-32,-2,-3.222532511,-12.22,-3.59,-3.657888381,-12.41006756,-5.022411187,-5.627066667,-1.56,-13.9739058,-9.928434927,NA,-9.34852086,-5,-23
91,3/18/2025,Brooklyn Nets,Boston Celtics,8,5,5.946722507,9.796348572,16.51,7.794017898,4.553902626,10.88093594,12.8458,7.1,14.12362543,11.42538234,NA,11.96857839,20,13
92,3/18/2025,Washington Wizards,Portland Trail Blazers,NA,14,-2.238609791,8.016059875,7.34,5.749905643,2.06094861,4.516301472,3.829966667,2.19,13.6290283,6.135602495,NA,2.093745652,15,-1
93,3/18/2025,Cleveland Cavaliers,Los Angeles Clippers,13,-9,3.2189219,-10.14,1.23,-6.225364046,-3.005247831,-1.659040983,-1.926666667,-2.68,-16.89976732,-6.910033825,NA,-9.400768652,1,-5
94,3/18/2025,Milwaukee Bucks,Los Angeles Lakers,NA,2,2.650387526,2.772476196,-3.94,4.153908414,5.680852413,4.947548069,2.876133333,-0.29,8.719374906,2.647615758,NA,0.996542013,2,-4
95,3/19/2025,Dallas Mavericks,Indiana Pacers,NA,9,2.570599794,4.632049561,8.42,3.200638955,7.103199959,2.705434854,0.525733333,-0.29,1.854629442,6.450317357,NA,2.616223574,4,17
