Play,Home Team,Visitor Team,Home Score,Visitor Score,Event Date,Odds,Result,Units Won,Home / Visitor,Season,Season Type
Play On Memphis,Kansas,Memphis,23,55,9/12/2015,-12,W,101,Visitor,2015-16,Regular
Play On Bowling Green,Maryland,Bowling Green,27,48,9/12/2015,7,W,102,Visitor,2015-16,Regular
Play On Iowa,Iowa State,Iowa,17,31,9/12/2015,-3.5,W,106,Visitor,2015-16,Regular
Play On Clemson,Louisville,Clemson,17,20,9/17/2015,-5,L,-100,Visitor,2015-16,Regular
Play On Idaho State,Boise State,Idaho State,52,0,9/18/2015,28,L,-100,Visitor,2015-16,Regular
Play On Florida State,Boston College,Florida State,0,14,9/18/2015,-9.5,W,94.3,Visitor,2015-16,Regular
Play On New Mexico,Arizona State,New Mexico,34,10,9/18/2015,25,W,98,Visitor,2015-16,Regular
Play On South Florida,Maryland,South Florida,35,17,9/19/2015,6,L,-100,Visitor,2015-16,Regular
Play On Illinois,North Carolina,Illinois,48,14,9/19/2015,6.5,L,-100,Visitor,2015-16,Regular
Play On Wake Forest,Army,Wake Forest,14,17,9/19/2015,-7,L,-100,Visitor,2015-16,Regular
Play On SE Louisiana,Ohio,SE Louisiana,35,14,9/19/2015,14.5,L,-100,Visitor,2015-16,Regular
Play On Memphis,Bowling Green,Memphis,41,44,9/19/2015,-3.5,L,-100,Visitor,2015-16,Regular
Play On Temple,Massachusetts,Temple,23,25,9/19/2015,-13.5,L,-100,Visitor,2015-16,Regular
Play On UTSA,Oklahoma State,UTSA,69,14,9/19/2015,25.5,L,-100,Visitor,2015-16,Regular
Play On Cincinnati,Miami Ohio,Cincinnati,33,37,9/19/2015,-21,L,-100,Visitor,2015-16,Regular
Play On East Carolina,Navy,East Carolina,45,21,9/19/2015,4.5,L,-100,Visitor,2015-16,Regular
Play On Western Kentucky,Indiana,Western Kentucky,38,35,9/19/2015,2.5,L,-100,Visitor,2015-16,Regular
Play On Northwestern State,Mississippi St,Northwestern State,62,13,9/19/2015,38.5,L,-100,Visitor,2015-16,Regular
Play On Utah State,Washington,Utah State,31,17,9/19/2015,7,L,-100,Visitor,2015-16,Regular
Play On Wofford,Idaho,Wofford,41,38,9/19/2015,0,L,-100,Visitor,2015-16,Regular
Play On Citadel,Georgia Southern,Citadel,48,13,9/19/2015,21.5,L,-100,Visitor,2015-16,Regular
Play On South Carolina,Georgia,South Carolina,52,20,9/19/2015,16,L,-100,Visitor,2015-16,Regular
Play On North Carolina Central,Florida Intl,North Carolina Central,39,14,9/19/2015,21,L,-100,Visitor,2015-16,Regular
Play On Murray State,Western Michigan,Murray State,52,20,9/19/2015,28.5,L,-100,Visitor,2015-16,Regular
Play On Charlotte U,Middle Tenn St,Charlotte U,73,14,9/19/2015,19,L,-100,Visitor,2015-16,Regular
Play On Missouri State,Arkansas State,Missouri State,70,7,9/19/2015,23,L,-100,Visitor,2015-16,Regular
Play On Western Carolina,Tennessee,Western Carolina,55,10,9/19/2015,37,L,-100,Visitor,2015-16,Regular
Play On California,Texas,California,44,45,9/19/2015,-5,L,-100,Visitor,2015-16,Regular
Play On Rutgers,Penn State,Rutgers,28,3,9/19/2015,8.5,L,-100,Visitor,2015-16,Regular
Play On Maine,Tulane,Maine,38,7,9/19/2015,10,L,-100,Visitor,2015-16,Regular
Play On San Jose State,Oregon State,San Jose State,35,21,9/19/2015,6,L,-100,Visitor,2015-16,Regular
Play On Northern Arizona,Arizona,Northern Arizona,77,13,9/19/2015,35,L,-100,Visitor,2015-16,Regular
Play On Auburn,LSU,Auburn,45,21,9/19/2015,6,L,-100,Visitor,2015-16,Regular
Play On Georgia Tech,Notre Dame,Georgia Tech,30,22,9/19/2015,-1,L,-100,Visitor,2015-16,Regular
Play On Iowa State,Toledo,Iowa State,30,23,9/19/2015,7,P,0,Visitor,2015-16,Regular
Play On Colorado,Colorado State,Colorado,24,27,9/19/2015,-3,P,0,Neutral,2015-16,Regular
Play On Colorado State,Colorado State,Colorado,24,27,9/19/2015,3,P,0,Neutral,2015-16,Regular
Play On NC State,Old Dominion,NC State,14,38,9/19/2015,-17,W,83.3,Visitor,2015-16,Regular
Play On Rice,North Texas,Rice,24,38,9/19/2015,-7,W,84.7,Visitor,2015-16,Regular
Play On UTEP,New Mexico State,UTEP,47,50,9/19/2015,-2.5,W,84.7,Visitor,2015-16,Regular
Play On Nebraska,Miami Florida,Nebraska,36,33,9/19/2015,3.5,W,86.2,Visitor,2015-16,Regular
Play On Central Michigan,Syracuse,Central Michigan,30,27,9/19/2015,8,W,89.3,Visitor,2015-16,Regular
Play On SMU,TCU,SMU,56,37,9/19/2015,37,W,89.3,Visitor,2015-16,Regular
Play On Savannah State,Akron,Savannah State,52,9,9/19/2015,45,W,90.9,Visitor,2015-16,Regular
Play On Ball State,Eastern Michigan,Ball State,17,28,9/19/2015,-4.5,W,90.9,Visitor,2015-16,Regular
Play On Norfolk State,Marshall,Norfolk State,45,7,9/19/2015,40,W,90.9,Visitor,2015-16,Regular
Play On William & Mary,Virginia,William & Mary,35,29,9/19/2015,22,W,90.9,Visitor,2015-16,Regular
Play On Austin Peay,Vanderbilt,Austin Peay,47,7,9/19/2015,47,W,90.9,Visitor,2015-16,Regular
Play On Furman,Central Florida,Furman,15,16,9/19/2015,24,W,90.9,Visitor,2015-16,Regular
Play On UC Davis,Hawaii,UC Davis,47,27,9/19/2015,21.5,W,90.9,Visitor,2015-16,Regular
Play On Nevada,Texas A&M,Nevada,44,27,9/19/2015,31.5,W,91.7,Visitor,2015-16,Regular
Play On Stanford,USC,Stanford,31,41,9/19/2015,9.5,W,92.6,Visitor,2015-16,Regular
Play On Connecticut,Missouri,Connecticut,9,6,9/19/2015,21,W,93.5,Visitor,2015-16,Regular
